Census Tract 2020,SALE PRICE
1.0,2212279.9595959596
2.0,526853.5416666666
3.0,578896.551724138
4.0,352913.43859649124
6.0,812140.1152173913
7.0,1639334.906137184
8.0,686654.7485380117
9.0,3105751.391705069
10.0,430320.5128205128
11.0,497723.2363636364
12.0,829717.6791044776
13.0,1536602.5625
14.0,654364.8648648649
16.0,1322947.6842105263
17.0,455086.14285714284
18.0,1533889.7471264368
20.0,770100.9722222222
21.0,2233412.4510108866
22.0,674024.1219512195
23.0,140000.0
24.0,574692.6923076923
25.0,951785.7142857143
26.0,329693.07692307694
27.0,424045.38636363635
28.0,909815.2395833334
29.0,370260.31666666665
30.0,717184.1176470588
31.0,3413207.0096153845
32.0,3412839.868852459
33.0,3532300.6018518517
34.0,1302049.102189781
35.0,7713417.391304348
36.0,552965.8796992481
37.0,5238342.448275862
38.0,1462877.313559322
39.0,3372247.31300813
41.0,2350801.421875
42.0,1019665.448275862
43.0,3295862.1533333333
44.0,1223719.98
45.0,2389040.041322314
46.0,1274620.103448276
47.0,3583596.487012987
48.0,1875532.8467153285
49.0,4536154.706521739
50.0,1061810.2958333334
51.0,5974328.822916667
52.0,3867079.384
53.0,742973.4693877551
54.0,1356765.142857143
55.0,1616451.294117647
56.0,2021163.2333333334
57.0,1433674.4197530865
58.0,2323788.2647058824
59.0,1504812.0083682009
60.0,745956.380952381
61.0,1951085.8629032257
62.0,600515.0
63.0,1934189.04845815
64.0,1244689.1798107256
65.0,2331350.8936170214
66.0,986809.0814814814
67.0,1918303.9521276595
68.0,1380064.975510204
69.0,4728307.706422018
70.0,468117.8431372549
71.0,2607491.0881226053
72.0,1119978.0483870967
73.0,1907668.8303030303
74.0,2153330.2902439022
75.0,2063702.136942675
76.0,1881207.3186813188
77.0,2152807.439628483
78.0,975425.0737704918
79.0,2717198.36196319
80.0,2172786.9881656803
81.0,1414172.2789855073
82.0,730568.7352941176
83.0,1779486.12
84.0,1304910.380952381
85.0,2494240.511627907
86.0,394679.7727272727
87.0,2321386.4427860696
88.0,3481178.170068027
89.0,1766654.2577319588
90.0,1627457.0875576036
91.0,1627174.402173913
92.0,2035605.18
93.0,1161172.232142857
94.0,3698010.870967742
95.0,2433617.946902655
96.0,2188191.1736526946
97.0,457894.96899224806
98.0,1345946.1652173912
100.0,2865686.5950920247
101.0,925700.094488189
102.0,1811784.5102040817
103.0,1185468.8333333333
104.0,7462253.366666666
105.0,468831.18095238094
106.0,413411.6129032258
